year,month,manufacturer,value
2024,2,力帆实业（集团）股份有限公司,14770.0
2024,2,浙江钱江摩托股份有限公司,10033.0
2024,2,洛阳北方企业集团有限公司,12791.0
2024,2,广州大运摩托车有限公司,15092.0
2024,2,重庆润通智能装备有限公司,17219.0
2024,2,厦门厦杏摩托有限公司,12249.0
2024,2,广东星际机车科技有限公司,16150.0
2024,2,五羊-本田摩托（广州）有限公司,13880.0
2024,2,重庆航天巴山摩托车制造有限公司,8846.0
2024,2,珠海珠江车业有限公司,4775.0
2024,2,鹤山国机南联摩托车工业有限公司,11581.0
2024,2,重庆鑫源摩托车股份有限公司,8000.0
2024,2,浙江春风动力股份有限公司,4457.0
2024,2,浙江嘉爵摩托车制造有限公司,4155.0
2024,2,重庆建设机电有限责任公司,6801.0
2024,2,江苏众星摩托有限公司,5582.0
2024,2,江门市长华集团有限公司,1685.0
2024,2,台州市王野机车有限责任公司,183.0
2024,2,三友控股集团银友摩托车有限公司,6204.0
2024,2,江门市华龙摩托车有限公司,5875.0
2024,2,常州光阳摩托车有限公司,5182.0
2024,2,长铃集团长春摩托车工业有限公司,1000.0
2024,2,江门市迪豪摩托车有限公司,3067.0
2024,2,宁波市龙嘉摩托车有限公司,2972.0
2024,2,济南轻骑摩托车有限公司,3730.0
2024,2,重庆望江摩托车制造有限公司,2386.0
2024,2,重庆银钢科技(集团)有限公司,5170.0
2024,2,宁波市龙嘉动力科技有限公司,4025.0
2024,2,浙江森铃摩托车有限公司,864.0
2024,2,济南大隆机车工业有限公司,3001.0
2024,2,重庆光宇摩托车制造有限公司,3400.0
2024,2,浙江吉铭实业有限公司,1916.0
2024,2,福建省晋江市三力机车有限公司,609.0
2024,2,江苏林海动力机械集团有限公司,1588.0
2024,2,广州福羊科技有限公司,962.0
2024,2,浙江天本车业有限公司,491.0
2024,2,重庆劲扬摩托车工业有限公司,1797.0
2024,2,重庆嘉陵工业有限公司,2461.0
2024,2,重庆新感觉摩托车有限公司,1729.0
2024,2,金翌车业有限公司,166.0
2024,2,浙江华洋赛车股份有限公司,1386.0
2024,2,西藏新珠峰摩托车有限公司,640.0
2024,2,重庆万虎机电有限责任公司,1131.0
2024,2,杭州土星动力科技有限公司,140.0
2024,2,广州番禺豪剑摩托车工业有限公司,192.0
2024,2,增城市东阳摩托车实业有限公司,196.0
2024,2,济南轻骑铃木摩托车有限公司,410.0
2024,2,浙江日雅摩托车有限公司,282.0
2024,2,立峰集团有限公司,51.0
2024,2,江苏林芝山阳集团有限公司,0.0
2024,2,金城集团有限公司,298.0
2024,2,慈溪金轮机车制造有限公司,0.0
2024,2,宁波东方凌云车辆制造有限公司,0.0
2024,2,广东大联统摩托车有限公司,0.0
2024,2,广州五羊摩托有限公司,0.0
2024,2,康超集团广州摩托车制造有限公司,0.0
2024,3,重庆隆鑫机车有限公司,121018.0
2024,3,江门市大长江集团有限公司,66237.0
2024,3,重庆银翔摩托车集团有限公司,67218.0
2024,3,广东大冶摩托车技术有限公司,52249.0
2024,3,广州豪进摩托车股份有限公司,51637.0
2024,3,宗申产业集团有限公司,40781.0
2024,3,江门市珠峰摩托车有限公司,36363.0
2024,3,新大洲本田摩托(苏州)有限公司,36139.0
2024,3,浙江钱江摩托股份有限公司,27214.0
2024,3,广州天马集团天马摩托车有限公司,19719.0
2024,3,力帆实业（集团）股份有限公司,23228.0
2024,3,广州大运摩托车有限公司,24202.0
2024,3,广州三雅摩托车有限公司,21966.0
2024,3,重庆润通智能装备有限公司,23777.0
2024,3,厦门厦杏摩托有限公司,17602.0
