year,month,indicator,scope,category,type,value
2016,7,生产,三轮,排量≤50ml,排量,0.0
2016,7,生产,三轮,电动摩托车,排量,0.0
2016,7,生产,三轮,三轮,汇总,161935.0
2016,7,生产,三轮,正三轮,车型,161789.0
2016,7,生产,三轮,边三轮,车型,146.0
2016,7,生产,二轮,100ml<排量≤110ml,排量,186705.0
2016,7,生产,二轮,110ml<排量≤125ml,排量,464419.0
2016,7,生产,二轮,125ml<排量≤150ml,排量,278193.0
2016,7,生产,二轮,150ml<排量≤250ml,排量,70065.0
2016,7,生产,二轮,250ml<排量≤400ml,排量,2493.0
2016,7,生产,二轮,400ml<排量≤750ml,排量,956.0
2016,7,生产,二轮,50ml<排量≤60ml,排量,0.0
2016,7,生产,二轮,60ml<排量≤70ml,排量,6180.0
2016,7,生产,二轮,70ml<排量≤80ml,排量,1200.0
2016,7,生产,二轮,80ml<排量≤90ml,排量,7511.0
2016,7,生产,二轮,90ml<排量≤100ml,排量,70601.0
2016,7,生产,二轮,排量>750ml,排量,0.0
2016,7,生产,二轮,排量≤50ml,排量,58364.0
2016,7,生产,二轮,电动摩托车,排量,9860.0
2016,7,生产,二轮,二轮,汇总,1156547.0
2016,7,生产,二轮,其它式,车型,0.0
2016,7,生产,二轮,弯梁式,车型,197766.0
2016,7,生产,二轮,踏板式,车型,287819.0
2016,7,生产,二轮,骑式式,车型,670962.0
2016,7,生产,总计,总计,汇总,1318482.0
2016,7,销售,三轮,125ml<排量≤150ml,排量,83310.0
2016,7,销售,三轮,150ml<排量≤250ml,排量,70164.0
2016,7,销售,三轮,250ml<排量≤400ml,排量,1180.0
2016,7,销售,三轮,400ml<排量≤750ml,排量,809.0
2016,7,销售,三轮,50ml<排量≤100ml,排量,5297.0
2016,7,销售,三轮,排量>750ml,排量,432.0
2016,7,销售,三轮,排量≤50ml,排量,0.0
2016,7,销售,三轮,电动摩托车,排量,0.0
2016,7,销售,三轮,三轮,汇总,161192.0
2016,7,销售,三轮,正三轮,车型,161110.0
2016,7,销售,三轮,边三轮,车型,82.0
2016,7,销售,二轮,100ml<排量≤110ml,排量,184034.0
2016,7,销售,二轮,110ml<排量≤125ml,排量,464149.0
2016,7,销售,二轮,125ml<排量≤150ml,排量,275110.0
2016,7,销售,二轮,150ml<排量≤250ml,排量,70532.0
